Month;zero knowledge proof: (Worldwide)
2010-01;8
2010-02;8
2010-03;4
2010-04;6
2010-05;7
2010-06;10
2010-07;8
2010-08;5
2010-09;0
2010-10;9
2010-11;5
2010-12;10
2011-01;5
2011-02;4
2011-03;7
2011-04;7
2011-05;5
2011-06;6
2011-07;12
2011-08;9
2011-09;7
2011-10;8
2011-11;3
2011-12;3
2012-01;6
2012-02;6
2012-03;8
2012-04;4
2012-05;6
2012-06;3
2012-07;0
2012-08;4
2012-09;4
2012-10;4
2012-11;14
2012-12;7
2013-01;8
2013-02;11
2013-03;8
2013-04;12
2013-05;8
2013-06;9
2013-07;9
2013-08;6
2013-09;7
2013-10;8
2013-11;7
2013-12;7
2014-01;9
2014-02;10
2014-03;2
2014-04;10
2014-05;7
2014-06;8
2014-07;8
2014-08;6
2014-09;7
2014-10;7
2014-11;6
2014-12;3
2015-01;4
2015-02;6
2015-03;10
2015-04;7
2015-05;8
2015-06;5
2015-07;5
2015-08;5
2015-09;6
2015-10;5
2015-11;8
2015-12;8
2016-01;9
2016-02;10
2016-03;7
2016-04;12
2016-05;10
2016-06;7
2016-07;4
2016-08;5
2016-09;10
2016-10;17
2016-11;10
2016-12;9
2017-01;8
2017-02;7
2017-03;7
2017-04;13
2017-05;12
2017-06;11
2017-07;12
2017-08;9
2017-09;14
2017-10;22
2017-11;20
2017-12;26
2018-01;27
2018-02;23
2018-03;22
2018-04;22
2018-05;21
2018-06;20
2018-07;21
2018-08;20
2018-09;20
2018-10;21
2018-11;26
2018-12;19
2019-01;19
2019-02;13
2019-03;19
2019-04;22
2019-05;17
2019-06;21
2019-07;17
2019-08;13
2019-09;16
2019-10;17
2019-11;22
2019-12;21
2020-01;16
2020-02;14
2020-03;16
2020-04;18
2020-05;12
2020-06;14
2020-07;14
2020-08;13
2020-09;14
2020-10;12
2020-11;11
2020-12;9
2021-01;11
2021-02;17
2021-03;19
2021-04;18
2021-05;21
2021-06;18
2021-07;14
2021-08;10
2021-09;14
2021-10;18
2021-11;26
2021-12;20
2022-01;100
2022-02;61
2022-03;51
2022-04;56
2022-05;43
2022-06;41
2022-07;36
2022-08;34
2022-09;35
2022-10;39
2022-11;45
2022-12;41
2023-01;45
2023-02;59
2023-03;45
2023-04;43
2023-05;33
2023-06;35
2023-07;30
2023-08;31
2023-09;38
2023-10;45